sentence_id,John,studied,Yale,John_first_index,John_last_index,studied_first_index,studied_last_index,Yale_first_index,Yale_last_index,sentence_text,label
1309256,Ho,studied,Lingnan University,0,0,1,1,4,5,Ho studied Philosophy in Lingnan University .,1
2827811,Mann,studied,Vanderbilt University,0,0,1,1,5,6,Mann studied political science in Vanderbilt University .,1
3758309,Chen Ran,studied,Beijing Normal University,0,1,2,2,8,10,Chen Ran studied Chinese language and literature in Beijing Normal University from 1982 to 1986 and graduated when she was 23 .,1
4952407,Yang,studied,Hosei University,3,3,4,4,7,8,"In 1904 , Yang studied politics in Hosei University .",1
7070249,Francisca Sutil,studied,the Southern Methodist University,3,4,5,5,12,15,"In 1972 , Francisca Sutil studied at the School of Art in the Southern Methodist University in Dallas , Texas .",1
9567248,Del Alcázar,studied,the Complutense University of Madrid,0,1,2,2,11,15,"Del Alcázar studied law , political sciences and business administration in the Complutense University of Madrid and the Sorbonne , Paris .",1
10057389,Frost,studying,Hudson University,1,1,3,3,9,10,"While Frost was studying to be a scientist in Hudson University , she fell in love with her teacher Martin Stein .",1
10234412,Geronimo,studied,University of the Philippines Open University ( UP Open University,0,0,1,1,7,16,Geronimo studied Associate in Arts program in University of the Philippines Open University ( UP Open University ) .,1
11666387,Koch,studied,the Johannes Gutenberg University,0,0,2,2,4,7,Koch first studied in the Johannes Gutenberg University of Mainz and later at the Eberhard Karls University of Tübingen .,1
18724717,Raja,studied,Madurai Kamaraj University,12,12,13,13,20,22,"After pursuing B.com . , degree from American College , Madurai , Raja studied M.A.,(Journalism and Mass communications ) in Madurai Kamaraj University .",1
21213764,Arbuzov,studied,the Kazan University,5,5,6,6,8,10,"A native of Bilyarsk , Arbuzov studied in the Kazan University under Alexander Mikhaylovich Zaytsev .",1
22754170,Dmitry Lachinov,studied,the St. Petersburg University,0,1,2,2,4,7,"Dmitry Lachinov studied in the St. Petersburg University , where he was a pupil of Heinrich Lenz , Pafnuty Chebyshev and Feodor Petrushevsky .",1
23846997,Cristina Almeida,studied,the Complutense University of Madrid,0,1,2,2,5,9,Cristina Almeida studied law in the Complutense University of Madrid and has been an active labour and feminist lawyer .,1
23994533,Karpin,studied,the Hebrew University,0,0,2,2,6,8,Karpin had studied political science in the Hebrew University and mass communication in UCLA .,1
27120975,Sergey Nalobin,studied,Moscow State University of International Relations,5,6,7,7,9,14,"From 1996 to 2001 , Sergey Nalobin studied in Moscow State University of International Relations , he graduated with excellence from the faculty of International Law .",1
27437410,Xu Liu,studied,the Department of Pharmacy in China Pharmaceutical University,0,1,2,2,4,11,Xu Liu studied at the Department of Pharmacy in China Pharmaceutical University and graduated in 1959 .,1
28497091,Miriam,studied,the Hebrew University,10,10,11,11,17,19,"In 1934 , the family emigrated to Palestine , where Miriam studied under Hans Jakob Polotsky in the Hebrew University in Jerusalem .",1
29266333,Mher Grigoryan,studied,Lomonosov State University,0,1,2,2,5,7,"Mher Grigoryan studied law in Lomonosov State University ( Moscow ) from 1989 to 1991.He continued his education in Yerevan State University , where he studied law from 1991 to 1994 .",1
38369062,Okan Avcı,studied,Istanbul University,0,1,2,2,20,21,Okan Avcı studied motion pictures and acting in Pera Fine Arts and in the meantime sub - aqua technology in Istanbul University .,1
39415180,Liu,studying,Friedrich - Alexander University Erlangen - Nürnberg,4,4,6,6,8,14,"Since October 2015 , Liu is studying in Friedrich - Alexander University Erlangen - Nürnberg .",1
40443027,Rukavishnikov,studied,Saint Petersburg University,10,10,11,11,14,16,"Born in Nizhny Novgorod to a millionaire staroobryadtsy merchant , Rukavishnikov studied archeology in Saint Petersburg University .",1
40544877,Arroyo,studied,Florida International University,0,0,1,1,3,5,"Arroyo studied in Florida International University ( FIU ) from 1998 to 2001 , where he played for the campus ' team , the Golden Panthers .",1
45184924,Dahl,studied,DeVry University,0,0,1,1,7,8,Dahl studied business and technology management in DeVry University in 2018 .,1
45322084,Laviada,studied,the Autonomous University of Yucatán,0,0,1,1,4,8,Laviada studied medicine in the Autonomous University of Yucatán where he obtained his medical degree .,1
46785499,Chu,studied,Soochow University,0,0,1,1,3,4,"Chu studied in Soochow University , and began to work in a studio of Central Motion Picture Company next to the school .",1
46979923,Abdulfattah Owainat,studied,Zarqa Private University,0,1,7,7,13,15,"Abdulfattah Owainat , sometimes Abed el Fattah studied Islamic Law and Principles in Zarqa Private University , Jordan .",1
48218456,Fedor Kubasov,studied,Mie University,0,1,7,7,11,12,"Fedor Kubasov , born in Saint Petersburg studied about ninja in Mie University under Yūji Yamada , one of the most prominet ninja researchers in Japan from 2007 .",1
51301843,Shin,studied,Dankook University,4,4,5,5,8,9,"Born in 1977 , Shin studied theater in Dankook University .",1
51439577,Andreas Berlin,studied,Uppsala University,0,1,5,5,7,8,Andreas Berlin ( 1746–73 ) studied in Uppsala University with Linnaeus as his student before travelling to London to find a botanical expedition he could join .,1
55128591,Zuev,studied,Leningrad State University,0,0,1,1,3,5,"Zuev studied in Leningrad State University to major in the historical studies of the Eastern countries , successfully learning Classical Chinese , Middle Chinese , and modern Chinese .",1
56587462,Herrera Luque,studied,the Central University of Venezuela,0,1,2,2,4,8,"Herrera Luque studied in the Central University of Venezuela ( UCV ) and later at the University of Salamanca ( 1952 ) , where he obtained his title of physician .",1
58944607,Monika Tsõganova,studied,Tallinn University of Technology,4,5,6,6,8,11,From 1987 to 1991 Monika Tsõganova studied in Tallinn University of Technology .,1
59604177,Tomomi Hayashi,studied,the Yokohama National University,4,5,6,6,8,11,"From 1990 to 1994 Tomomi Hayashi studied in the Yokohama National University ( 横浜国立大学 "" Yokohama Kokuritsu Daigaku "" ) in the department of architecture .",1
60145538,Jang Se - yul,studied,the Mirim University,0,3,4,4,6,8,"Jang Se - yul studied in the Mirim University , and subsequently served as a hacker for the North Korean military .",1
63858116,Michael Torke,studying,Yale University,1,2,4,4,8,9,"When Michael Torke was studying musical composition in Yale University , he decided to start an early series of compositions "" to celebrate without modulation a single color "" .",1
64335346,Kieran,studied,Queens University,9,9,10,10,12,13,"Born in Belfast to Kate and Jim Creagh , Kieran studied in Queens University , Belfast , and at the age of 23 joined the Passionist order .",1
72759459,Oliver,studied,the Dresden University of Technology,3,3,5,5,7,11,"After that , Oliver successfully studied in the Dresden University of Technology with political science as the main subject and sociology as the subsidiary subject ( Bachelor of Arts ) .",1
73829827,Luis de Garrido,studied,the UPV Polytechnic University of Valencia,0,2,3,3,6,11,Luis de Garrido studied architecture in the UPV Polytechnic University of Valencia where he graduated with a doctorate .,1
74816201,Samper,studied,the Pontifical Xavierian University,6,6,7,7,?,?,"After graduating from high school , Samper studied law in the Pontifical Xavierian University and later attended graduate school for journalism at Kansas University , United States .",1
77083222,Yesken Sergebayev,studied,Leningrad University of Paintings,0,1,2,2,5,8,"Yesken Sergebayev studied sculpture in Leningrad University of Paintings , Sculpture and Architecture ( 1969 ) .",1
77213127,Dimitris Sirinakis,studied,Washington University,8,9,10,10,14,15,"With the completion of his military service , Dimitris Sirinakis studied business management in Washington University and upon its graduation , he worked for a multinational company .",1
79890211,Valdas Dambrauskas,studied,London Metropolitan University,0,1,2,2,8,10,"Valdas Dambrauskas studied Sport Science and Coaching in London Metropolitan University and worked as a coach in many famous youth academies , including Fulham , Manchester United and Brentford .",1
86676565,Jeong,studied,Peking University,0,0,1,1,4,5,Jeong studied Arabic in Peking University and continued his studies in Cairo University .,1
87005240,Yeow,studied,the National University of Malaysia,0,0,1,1,4,8,Yeow studied medicine in the National University of Malaysia ( UKM ) and received his Doctors of Human Letters from Summit University of Louisiana .,1
89179592,Pak,studied,Tokyo Imperial University,0,0,1,1,4,6,Pak studied aesthetics in Tokyo Imperial University and became a professional dancer before moving to Germany .,1
92466666,Rajen,studied,Stanford University,0,0,1,1,10,11,Rajen studied Computer Engineering ( 1994 - 1999 ) in Stanford University like Sergey Brin and Larry Page .,1
97097055,Broun,studied,Edinburgh University,0,0,1,1,3,4,Broun studied in Edinburgh University and worked at the observatory in Makerstoun from 1842 to 1849 before moving to India to work in the Kingdom of Travancore .,1
97255138,Ivan,studies,Columbia University,0,0,1,1,3,4,"Ivan studies in Columbia University ( NY , USA ) .",1
99379084,Mendoza,studied,Adamson University,0,0,1,1,3,4,Mendoza studied in Adamson University with the degree in Bachelor of Science in Education .,1
100480214,Xi,studied,Tsinghua University,5,5,6,6,13,14,"From 1998 to 2002 , Xi studied Marxist theory and ideological education in Tsinghua University , graduating from there with a doctorate in law and ideology in 2002 .",1
102192441,Jordan Malinovski,studied,the Sofia University,0,1,2,2,4,6,"Jordan Malinovski studied in the Sofia University 1948 and obtained Dr. in chemistry 1958 , and D.Sc . 1959 .",1
103461655,Tamarkin,studied,St. Petersburg University,0,0,1,1,3,5,Tamarkin studied in St. Petersburg University where he defended his dissertation in 1917 .,1
103497475,Ivan,studied,Kiev University,0,0,1,1,3,4,Ivan studied in Kiev University from 1892 to 1896 .,1
104524322,Gamboa,studied,Hofstra University,0,0,1,1,4,5,Gamboa studied communications in Hofstra University in New York .,1
107461555,Baram,studied,Tel Aviv University,0,0,1,1,4,6,Baram studied literature in Tel Aviv University and was an editor in Am Oved publishing house .,1
108680294,Gu,studied,Anhui University,7,7,8,8,11,12,"From February 1978 to February 1982 , Gu studied economics in Anhui University .",1
110686604,Bush,studied,Cornell University,0,0,1,1,4,5,Bush studied law in Cornell University and passed the state bar shortly after graduating .,1
111195768,Enn Tarto,studied,Tartu University,5,6,7,7,13,14,"After being imprisoned twice , Enn Tarto studied from 1969 to 1971 in Tartu University Estonian philology .",1
