sentence_id,John,studied,Yale,John_first_index,John_last_index,studied_first_index,studied_last_index,Yale_first_index,Yale_last_index,sentence_text,label
1821455,Li,studied,Shipai Central School,6,6,7,7,12,14,"At the age of 11 , Li studied Chinese traditional opera in Shipai Central School .",0
3462860,Tessy Thomas,studied,Higher Secondary School,0,1,2,2,7,9,Tessy Thomas studied in St. Michael 's Higher Secondary School and St. Joseph 's Girl 's Higher Secondary School in Alleppey ( Alappzuha ) .,0
5053764,Moo,studied,Shu Qun Primary School,0,0,1,1,?,?,"Moo studied in Shu Qun Primary School , The Chinese High School and Jurong Junior College in Singapore .",1
5653173,Kalli Kalde,studied,Tartu Art School,4,5,6,6,10,12,From 1982 to 1986 Kalli Kalde studied graphic design in Tartu Art School .,1
7129120,Nakasone Yasuhiro,studied,Shizuoka High School,0,1,15,15,19,21,"Nakasone Yasuhiro , who was a Prime Minister of Japan and a world leader , studied in the prestigious Shizuoka High School ( now part of Shizuoka University ) .",0
7172359,Suryadevara,studied,Senior Secondary School,0,0,1,1,6,8,"Suryadevara studied in St John 's Senior Secondary School in Mandaveli , Chennai .",0
7177219,Elson,studied,Yuhua Primary School,0,0,1,1,?,?,"Elson studied in Yuhua Primary School , Kranji Secondary School and Pioneer Junior College .",1
8469085,Ikonnikov,studied,Kiev Kadet School,4,4,5,5,7,9,In 1852 - 1861 Ikonnikov studied in Kiev Kadet School on state funds .,1
10468491,Jemimah Rodrigues,studied,Convent High School,0,1,2,2,?,?,"Jemimah Rodrigues studied in St. Joseph 's Convent High School , Mumbai and later in Rizvi College of Arts , Science & Commerce .",1
12045817,Neto,studied,the Lisbon Industrial School,9,9,10,10,14,17,"Born in Lisbon on April 27 , 1936 , Neto studied at first in the Lisbon Industrial School and then at the Commercial School of Marinha Grande , a town from where his family had come from to Lisbon and where he moved at age 14 .",?
14589983,Pantyukhov,studied,Pavlovsk Military School,5,5,6,6,8,10,"From 1899 to 1901 , Pantyukhov studied in Pavlovsk Military School .",?
15330276,Mahaveer,studied,Sanskar School Jaipur,0,0,1,1,3,5,Mahaveer studied in Sanskar School Jaipur and is a national basketball player .,?
15525550,Jānis Ozols,studied,Emīls Dārziņš Music School,0,1,2,2,4,7,Jānis Ozols studied in Emīls Dārziņš Music School between 1989 and 1996 and the Riga Dome Choir School ( RDCS ) in choir conducting class between 1996 and 1999 .,?
16441129,Donat Grigorovich Korchikov,studied,Kharkiv,2,4,15,15,36,36,"Associate Prof. Donat Grigorovich Korchikov , PhD , institute director from 1963 to 1966 , studied at Kharkiv National Medical University from 1941 to 1942 , at Tashkent Medical Institute till 1943 , then in the Kharkiv infantry mortar school as a Second World War combatant .",1
18103675,Cengiz Aktar,studied,Galatasaray High School,6,7,8,8,?,?,"Born in Istanbul in 1955 , Cengiz Aktar studied in Galatasaray High School then went on to study in the Sorbonne in Paris where he gained a Doctorate in Economics in 1982 .",1
19004542,Eugen Sterpu,studied,Arts High School Moldavia,0,1,2,2,?,?,Eugen Sterpu studied 1975–1981 in Arts High School Moldavia and 1981–1989 in Eesti Riiklik Kunstiinstituut ( renamed 1989 as Eesti Kunstiakadeemia / Estonian Academy of Arts ) .,1
20938237,Cheng,studied,Shenzhen Art School,0,0,1,1,3,5,"Cheng studied in Shenzhen Art School , and graduated from School of Performing Arts Seoul in 2016 , where she studied under the Department of Practical Dance .",?
23608932,Parra,studied,the Salesian School of San José,4,4,5,5,7,12,"In that city , Parra studied in the Salesian School of San José .",?
26835575,Uma,studied,the Delhi Public School,0,0,1,1,3,6,"Uma studied in the Delhi Public School and , later , Mount Carmel College , Bangalore .",?
27986977,Yahya,studied,Brown Cambridge School,0,0,1,1,7,9,Yahya studied in the prestigious Col . Brown Cambridge School Dehradun and later enrolled at the University of Punjab from where he passed B.A.,1
29267954,Vadivelu,studied,Dharmapuri High School,0,0,11,11,13,15,"Vadivelu , born at Gollahalli , Dharmapuri , Tamil Nadu , studied in Dharmapuri High School , discontinued his studies for taking part in the national freedom struggle .",0
31025835,Tan,studied,the Dong Shan School,0,0,1,1,3,6,Tan studied in the Dong Shan School .,?
34532271,Baskakov,studied,the Astrakhan School of Art,2,2,3,3,13,17,In 1933–1939 Baskakov studied under the known Russian art educator Pavel Vlasov in the Astrakhan School of Art .,?
36038927,Samuthirakani,studied,T.N.P.M.M.N.Hr,0,0,1,1,?,?,"Samuthirakani studied school in T.N.P.M.M.N.Hr . Sec School and B.Sc.(Mathematics ) , in Rajapalayam Rajus College , and Bachelor of Law from Ambedkar Law College , Chennai .",?
36038927,Samuthirakani,studied,Sec School,0,0,1,1,6,7,"Samuthirakani studied school in T.N.P.M.M.N.Hr . Sec School and B.Sc.(Mathematics ) , in Rajapalayam Rajus College , and Bachelor of Law from Ambedkar Law College , Chennai .",?
37058009,Kiram III,studied,Jolo Central Elementary School,0,1,2,2,4,7,Kiram III studied in Jolo Central Elementary School from 1946 to 1951 .,0
38381503,Korngold,studied,the Warsaw School of Political Sciences,4,4,5,5,8,13,"Before the war , Korngold studied journalism in the Warsaw School of Political Sciences .",0
