sentence_id,sentence_text
214154,They were divided into two groups : group I consisted of 22 patients who received Parlodel LAR before transsphenoidal adenomectomy ; group II was composed of 7 patients with earlier neurosurgery and of 2 patients from group I not cured by transsphenoidal adenomectomy .
282429,"Independent of the total dose , number of fractions , and operative intervention , 84 to 100 % of the animals cured by irradiation developed a secondary neoplasm inside the treated area ."
534867,[ A case of tuberculous mastitis cured by prolonged streptomycin therapy ] .
633211,"Testis tumors are cured using cisplatin-based chemotherapy in over 80 % of patients , and sensitivity to cisplatin is retained by testis tumor cells in vitro ."
713696,Hyperoxaluria and recurrent stone formation apparently cured by short courses of pyridoxine .
721764,[ 2 ureteral fistulas cured by percutaneous nephrostomy alone ] .
791615,"In addition , sleep latency was increased in patients treated by somatostatin analogs compared to patients cured by surgery and/ or radiotherapy ( 52+/-48 min vs. 26+/-40 min , P=0.005 ) , resulting in a delayed sleep onset ( 24:08+/-1:26 h vs. 23:25+/-0:43 h , P=0.053 ) ."
1005314,"In Group B , 3 patients developed CSFLWand cured by reoperation , in which 1 case of superficial infection recovered well after reoperation ."
1126359,"For patients not cured by surgery , the proportion of POSA significantly increased from 25.64 to 53.85 % after surgery ."
1141874,Report of a patient cured by amphotericin B without resort to intrathecal administration .
1820326,[ Cuervo method in medical therapy of hydatid cysts ; a case of hydatid cyst of the psoas apparently cured by injections of iodized thymol ] .
1866089,Pleuropulmonary paragonimiasis with migrated lesions cured by multiple therapies .
2092581,Retinoblastoma CSF metastasis cured by multimodality chemotherapy without radiation .
2165711,"Analysis of the CT scan diagrams of 121 cases suffering from TN cured by RFT , and measuring the puncture depth ."
2367239,Refractory candidal meningitis in an immunocompromised patient cured by caspofungin .
2558670,"In this proposed solventless photocurable film coating system , each layer of coating onto the pellets ( non-pareil beads ) was formed using liquid photocurable monomer , powdered pore-forming agents , photosensitizers and photoinitiators in a mini-coating pan and later cured by visible light ."
2571245,Cancer of the maxillary sinus cured by roentgentherapy ; personal observation .
2578335,Comparison of the fracture toughness and wear resistance of indirect composites cured by conventional post curing methods and electron beam irradiation .
2578338,To compare the fracture toughness and wear resistance of indirect composites cured by conventional post curing methods and electron beam irradiation .
2697269,[ Heart wound cured by simple tapping ] .
2794380,Patients with head and neck cancer cured by radiation therapy : a survey of the dry mouth syndrome in long-term survivors .
2801501,"However , both totality and pattern of compliance were similar in patients cured and not cured by cephalexin ."
2812054,Inherited accessory nail of the fifth toe cured by surgical matricectomy .
3156475,"A case of spasmodic torticollis in a 27-year-old man cured by vascular decompression of the spinal accessory root , without any nerve sectioning , is presented ."
3359493,Actually recessive forms can be treated and cured by bone marrow transplantation and the children who were in the past condemned are saved .
3386460,"The mice cured from fibrosarcoma by treatment with heat-killed preparation of S. thermophilus , when challenged with fibrosarcoma failed to take up the tumor ."
3616708,"We observed emergence of teicoplanin-resistant coagulase-negative Staphylococcus in 3 patients receiving teicoplanin : 20 , 18 and 8 days after a first febrile episode cured by teicoplanin and a beta-lactam , they developed fever while receiving the same antibiotic regimen ."
3685331,"122 patients ( 85 % ) were test positive and cured , 11 patients ( 8 % ) were test negative but cured , and 10 patients ( 7 % ) were test negative and not cured by the primary operation ."
3813777,The wound cured by the temporal superficial fascia flaps combined with split skin grafts transplantation .
3820894,[ Total mesenteric infarction cured by anticoagulants ] .
3823631,[ Vasoparalytic hemorrhagic diathesis cured by luminal sleep ] .
4181759,Infective endocarditis cured by resection of a tricuspid valve vegetation .
4212129,"CASE OF VESICO-VAGINAL FISTULA , CURED BY A METHOD BELIEVED TO BE NEW , WITH REMARKS ON THE SURGICAL TREATMENT OF VESICO-VAGINAL FISTULAE ."
4265580,LINCOLN COUNTY HOSPITAL : CASE OF TAPEWORM CURED BY THE ADMINISTRATION OF ETHEREAL OIL OF MALE FERN .
4418869,FILARIASIS IN MAN CURED BY REMOVAL OF THE ADULT WORMS IN AN OPERATION FOR LYMPH SCROTUM .
4533418,TUBERCULOSIS of the CONJUNCTIVA CURED by X RAYS .
4604107,Murine neuroblastoma cured in vivo by an antibody-dependent cellular cytotoxicity reaction .
4905532,We describe a primary iliopsoas abscess by Streptococcus sanguis affecting an 81-year-old man cured by antibiotic therapy and aspiration procedure .
5046281,"Of 199 patients with known outcomes after metronidazole treatment for vaginal trichomoniasis , the geometric mean minimal lethal concentration ( MLC ) under aerobic conditions for trichomonads associated with cases cured by a single 2-g dose was 24.1 micrograms/ml ( n = 146 ) , while that of treatment-resistant isolates ( n = 53 ) was 195.5 micrograms/ml ."
5057286,[ 2 New observations on facial hemispasm cured by surgical therapy of arachnoiditis of the cerebellopontile angle ] .
5081306,"[ Non-tumoral syndrome of the left pontocerebellar angle , cured by exploratory surgery ] ."
5186120,[ Facial hemispasm cured by operation on the posterior fossa ] .
5424955,It is a pourable two-component silicone rubber cured by a platinum catalyst .
5715466,[ The use of a synthetic vascular artificial prosthesis or arterial homograft in cases of patients with the arteriosclerosis and terminal insufficiency of kidney cured by the kidney transplantation ] .
5724786,"Ferocious ano-vulvar pruritus treated by induced labor and electro-shock , cured by anti-estrogens ."
5737989,Tuberculous acne of the face cured by the combination of calcium-calcium ascorbic acid .
5903863,Protein-secreting Tumour of Stomach : Severe Hypoproteinaemia Cured by Removal of Gastric Polyp .
6059335,[ Curling 's ulcer in a child : report of a case cured by gastrectomy and review of the literature ] .
6151446,[ Interhemispheric subdural empyema diagnosed by CT and cured by antibiotic therapy ( author 's transl ) ] .
6534855,Whooping-Cough Cured by Irrigation of the Nares .
6688217,[ A case of tracheoesophageal fistula cured by surgical therapy after blunt trauma received 38 years ago ] .
6688220,We experienced a case of tracheoesophageal fistula successfully cured by surgical therapy after blunt trauma received 38 years ago .
6715255,[ A case of postpneumonectomy empyema cured by open drainage thoracotomy and thoracoplasty with pectoral myoplasty ] .
6757170,Thymic anti-tumor effectors in mice cured of lymphoma by cyclophosphamide plus TNF-alpha therapy : phenotypic and functional characterization up to 20 months after initial tumor inoculation .
6757184,"Thus , mice cured of tumor by an immuno-modulating regimen rejected re-implanted primary tumor and maintained specific thymic anti-tumor immune memory for life ."
7030570,[ Normal H.G.H. secretion in a case of acromegaly cured by surgical resection of hypophyseal tumor ( author 's transl ) ] .
7110604,Scleroma ; report of a case apparently cured by streptomycin .
7471716,"The primary outcome was medical cure , defined as a peritonitis episode cured by antibiotics without being complicated by catheter removal , transfer to hemodialysis ( HD ) , relapsing peritonitis , or death ."
7526349,The average number of freezings required for a cure was 3 - 1 amongst all patients cured by 6 or less freezings at intervals of 2 or 3 weeks .
7526353,Only one of the patients cured by the paint in that trial was found to have had a recurrence after 6 months .
7569160,"Patients not cured by this technique were treated by urethrolysis in three cases , Uroflow stent in one case and section of a Raz cervicocystopexy suture in one case ."
7605531,"During follow-up , no recurrence was observed in patients cured by open reimplantation ."
7714196,"In 15 of the 16 patients found to have renal artery stenosis at angiography and cured by either revascularization or nephrectomy , Captopril stimulated both plasma renin activity and plasma angiotensin I to a far greater extent than in the majority of the 53 classified as essential hypertensives ."
7857695,Postoperative complications included 2 cases of puncture-site hematoma ( cured by pressure bandage ) and 1 case of gastrointestinal hemorrhage ( healed by conservative treatment without blood transfusion ) .
7958878,"This type of transductant was an effective recipient for transduction by Plkc of R213 when apparently "" cured "" by acridine treatment ."
8193457,"The aim of the present study was to describe selected immunological changes , concerning pro-inflammatory cytokines ( TNF-alpha , IL-8 ) and adhesion molecules ( sE-selectin , sP-selectin , sICAM-1 ) , in 56 patients cured by Goeckerman 's therapy ( GT ) ."
8536704,"Four patients had synchronous bladder carcinoma ( three advanced with early death ; one localised , cured by cystectomy ) ."
8536707,"Six cases ( out of 11 ) developed subsequent cancer ( 4 advanced and early death , two localised and cured by cystectomy ) ."
8966367,Case of idiofagedenismo cured by penicillin .
