sentence_id,sentence_text
37422,The majority of patients can now be cured with short courses of extremely well-tolerated all-oral regimens .
146059,[ Endocarditis lenta due to penicillin-resistant staphylococcus cured with aureomycin ] .
156041,"Sixty-two patients ( 87.3 % ) were cured using a single procedure , with an average follow-up of 13.1   months ."
205062,"We estimated the number of patients initiating HCV treatment in France between 2007 and 2015 according to the type of therapy , described their demographical characteristics , and estimated how many were cured with 2nd-wave DAAs in 2014 - 2015 ."
310163,All of our cases were cured from the disease with no fatality .
314742,Hardening of dual-cure resin cements and a resin composite restorative cured with QTH and LED curing units .
378807,"Since 1990 , seven cases of osteoma had been cured with fetal bone graft ."
386877,"At end-point follow-up , toenails in 84 % of the patients were clinically cured with a negative potassium hydroxide preparation and culture in 72 % and 80 % of the patients , respectively ."
386881,"At end-point follow-up , toenails in 76 % of the patients were clinically cured with a negative potassium hydroxide preparation and culture in 72 % and 80 % of the patients , respectively ."
430966,Acute babesiosis in gerbils could be cured with all four drugs if parasitaemias were below approximately 45 per cent and packed cell volumes above 18 per cent at treatment .
434492,The fourth reported case of candidal epididymo-orchitis in the literature and the first reported case successfully cured with only low dose amphotericin B is described .
520084,"Surgery is palliative for children with diffuse KATPHI , but children with focal KATPHI are cured with a limited pancreatectomy ."
626601,"With systematic improvements in therapy over recent decades , the vast majority of children with NHL of all subtypes are now cured ."
681676,All 23 cases of functional aphonia were cured with phonation therapy .
681680,"The iatrogenic functional aphonia can be caused by post operative mistreatment and could be cured with phonation therapy , and it is preventable if speaking is not strictly prohibited after surgery ."
742584,[ Glossitis syndrome cured with folic acid ] .
780454,Sequential and prolonged follow-up is essential to assess whether this lymphoma can be actually cured with eradication therapy for H. pylori .
839823,Three groups were tested : Group A specimens were bulk-cured in one complete increment ; group B specimens were incrementally cured in 1.2 + /- 0.2 mm layers perpendicular to the plane of fracture ; and group C specimens were incrementally cured with the interface between layers parallel to and in the plane of fracture .
916339,"Both patients were cured with radiofrequency catheter ablation , guided by endocardial activation sequence and pace mapping ."
1149664,"The material were inserted into split molds at room temperature , 4˚C or 45˚C and cured with LED ( 1200 mW/cm(2 ) ) for 20 seconds in four points ( n=10 ) ."
1220889,"With the advent of combination antiretroviral therapy and the development of novel therapeutic strategies , most patients with HIV-associated lymphomas are cured ."
1331463,"Hepatitis C virus infection can now be cured with medications , even in patients who have advanced scarring of the liver ( cirrhosis ) ."
1365991,Women older than 40 years were significantly less likely to be cured with either treatment regimen and with single-dose therapy .
1574018,"Samples of a Cx . quinquefasciatus colony ( wPip(+ ) ) originated from individuals naturally infected by Wolbachiapipientis B strain , were cured with tetracycline , yielding a Wolbachia-free colony ( wPip(- ) ) ."
1580640,"Nevertheless , approximately 80 % of patients are diagnosed at a locally advanced stage , and only 20 - 25 % of early stage RB patients can be cured with a chemosurgery strategy ."
1779570,Eleven of these patients were cured with subsequent re-exploration .
1802609,These small sized lesions can be cured with endoscopic local treatment such as photodynamic therapy .
1845801,"The relapse was cured with ampicillin plus ceftriaxone , which was introduced after gentamicin-induced acute renal failure ."
2015190,"This study tested the hypothesis that dentin bonding agents ( DBAs ) cured with a light emitting diode ( LED ) light curing unit ( LCU ) would not show a statistically significant different dentin shear bond strength ( DSBS ) relative to a halogen LCU , when the LED and halogen LCUs had a supposedly similar irradiance ."
2015194,"Next , the DSBS of the DBAs cured with each LCU was measured ."
2015197,"Although the DBAs cured with both types of LCUs showed similar DSBS values , Clearfil SE Bond showed the highest DSBS value when cured with a halogen light ."
2079572,"From 7 diagnosed and treated patients , 4 were cured with the category 1 standard regimen , 1 completed treatment and 2 failed to complete treatment ."
2100555,"All dogs were cured ( negative results for Aspergillus on endoscopy , fungal culture , and histopathology ) with a median of 2 treatments ."
2112703,"The patient was cured completely and is doing well after four years of follow-up , with no medical treatment ."
2121959,"With a mean follow-up of 72 months , only 64.2 % of children were cured after a one-stage procedure ."
2122490,Nineteen out of 20 patients from group I were cured with mean fever clearance time of 3.68 days while all 20 patients from group II were cured with mean fever clearance time of 3.65 days .
2132841,A child with Klebsiella pneumoniae ventriculitis and meningitis was cured with intravenous moxalactam alone .
2405044,"With this protocol and the subsequent treatment , 9 out of 17 patients were cured ( 1 out of 4 with swallowed corticosteroids , 3 out of 3 with an elemental diet , and 5 out of 12 with an avoidance diet ) ."
2434343,"The polymerisation ability of twelve light activation units , a mixture of new and old , was assessed by micro-hardness evaluation of samples of three composite resins cured with the lights ."
2791270,Above a case of diabetes insipidus cured with endorachid penicillin treatment .
2791776,"In particular , AML patients with poor prognostic cytogenetic changes in CR1 who are unlikely to be cured with chemotherapy alone may benefit from allo-BMT ."
2797103,"All 7 ( 100 % ) untreated patients of kala-azar , 258 ( 97 % ) of the 266 antimony and pentamidine resistant patients , and 31 ( 86 % ) of the 36 patients who had relapsed after a low dose regimen of amphotericin B , were cured with 20 infusions of amphotericin B. Eight ( 3 % ) patients of the antimony and pentamidine resistant group and 5 ( 14 % ) patients who had relapsed after low dose amphotericin B regimen required 25 infusions of amphotericin B to achieve parasitological cure ."
2797106,"With some precautions and proper management , all patients of kala-azar could be cured with amphotericin B in a rural set-up ."
2912933,"With appropriate antifungal therapy and restoration of patient 's immunity , IA can be cured without surgical resection ."
3041716,"This case also shows that CD might sometimes run a relatively benign course being cured with no therapy , whereas it might have a rapidly fatal downhill course -- even with therapy -- in others ."
3057275,"6 ) In cases cured with dapsone therapy , there was an increase or a persistence of high OD values in ND-ELISA prior to the onset of a leprosy relapse ."
3149312,Ten patients cured with a combination of medical and surgical treatment and 2 patients died as a consequence of infection .
3224162,One patient was cured with a total of 30 ampoules in 10 weeks and the other received 36 ampoules in 12 weeks .
3300432,Infections were cured equally well with revision arthroplasty and arthrodesis .
3339321,"Although treatment-related mortality was similar between i.v . and p. I. therapy , there was a higher percentage of animals cured with p. I. injections with overall cure rates in treated animals at 30 days of 17 % vs. 72 % ( i.v . vs. p. I. , P < 0.01 ) and 13 % vs. 67 % ( P < 0.04 ) in a repeat study ."
3501457,"With the advent of highly active anti-retroviral therapy ( HAART ) in 1997 , most investigators felt that HIV infection would be cured with a few years of antiviral therapy ."
3534158,"With rare exceptions CPA can not be cured by medicinal therapy alone ; however , active CPA can be brought into remission with antifungal therapy ."
3578716,"The authors present their own observation of a patient suffering from drug-induced agranulocytosis , cured with filgastrim-neupogen , a recombinant colony-stimulating human granulocyte factor ."
3629108,"Thus , Ab melanoma can be effectively cured with TNP-470 angiogenesis inhibitor when the substance is applied locally ."
3845893,"Melanoma is an especially important malignant disease for surgeons to know about , since it can be cured with surgical treatment if diagnosed at an early stage ."
3986505,Twenty-four patients ( 71 % ) were cured with one or more laser procedures .
4102787,More than 80 % of children with ALL are now cured with chemotherapy without need for transplantation .
4127519,With the use of aggressive cis-platinum-based combination chemotherapy the majority of patients with metastatic testicular cancer will be cured .
4267632,Body dysmorphic disorder patients can not be cured with surgery .
4508805,"The adhesives were light cured , and the cavities were filled with resin composite ."
4596968,Almost one-third of patients with diffuse large B-cell lymphoma ( DLBCL ) can not be cured with initial therapy and will eventually succumb to the disease .
4624667,"With a median follow-up of 38 months ( range 12 - 96 ) , 16 ( 84.2 % ) patients were cured ."
4970423,"All patients except for one case of laparotomy were conservatively treated and cured with fasting , infection prevention , rehydration , abdominocentesis , and close observation ."
5022333,Symptomatic eosinophilic gastritis cured with Helicobacter pylori eradication .
5056468,Four cases of amebic liver abscess cured with chloroquine .
5075328,"While cSCCs typically behave in an indolent fashion and can be cured with local destructive or surgical methods , a small subset metastasizes and induces significant morbidity and mortality ."
5080033,[ Case of endocarditis due to probable tonsil infection cured with combination of specific ( antimicrobial ) and ono-specific ( fixation abscess ) therapy ] .
5140902,"In the observation group , 42 cases were cured , 30 cases were effective and 7 cases were ineffective with a total effective rate of 91.1 % ; in the control group no case was cured , 24 cases were effective and 55 cases were ineffective with a total effective rate of 30.4 % , with a significant difference between the two groups in the total effective rate ."
5204402,"With modern combination therapy , about 70 - 80 % of the patients in this group can be cured ."
5267575,"A spider monkey ( Ateles geoffroyi ) studied at the San Juan de Aragon Zoo died with symptoms of amoebic dysentery verified by coprologic investigation of the parasite , his female partner was cured with conventional antiamoebic treatment ."
5280869,"By utilizing diagnostic laparotomy and splenectomy , the majority of patients with PS IA-IIA HD will be cured with RT alone thus sparing them the toxicity of combined chemotherapy and RT , and preserving the effectiveness of chemotherapy in case of relapse ."
5495962,"Patients with advanced-stage Burkitt lymphoma , including those with bone marrow and/or central nervous system involvement , can be cured with a short-term intensive chemotherapy regime tailored to the tumor burden ."
5551978,"Hepatitis C ( HCV ) is a deleterious virus that can be cured with new , highly effective anti-viral treatments , yet more than 185 million individuals worldwide remain HCV positive ( with the vast majority un-diagnosed or untreated ) ."
5678788,The cost per DALY averted per patient cured with antimony was estimated to be approximately US$ 15 000 ( 95 % CI 12 226 - 21 532 ) .
5686038,All patients were cured with haematoma drainage .
5711463,"Although most early-stage cervical cancers can be cured with open radical hysterectomy , the morbidity associated with open radical hysterectomy is significant compared with simple extrafascial hysterectomy ."
5744786,"Of the patients two were completely cured at follow-up with eradication of the neurological symptoms as well as the fistula , one was retreated with Onyx ® for a very small residual shunt despite having no more tinnitus , and one showed improvement in venous drainage ( from type IIa+b to type I fistula ) without resolution of the fistula ."
5923336,Thirteen evaluable patients with germinal testicular cancers failing to be cured with first-line therapy ( refractory ) were treated by salvage chemotherapy .
5923402,"AH Plus is an epoxy-based material cured with an amine , and in this case the increase in compressive strength with CPC is attributed to an enhanced cure reaction with this system ."
5933197,"Palmar hyperhidrosis was cured in all but one patient , with a 98 % satisfaction rate in the clamping group and 94.3 % and 95.1 % in the two cauterization groups ( < or = 0.025 , clamping > cauterization ) ."
6005859,Eikenella corrodens brain abscess after repeated periodontal manipulations cured with imipenem and neurosurgery .
6059450,[ 2 consecutive gestations in a case of primary protracted lactation disorders cured with vasopressin ] .
6103474,"Only three ( 60 % ) of five cases of secondary abscess ( infected hematoma or infected tumor ) were cured with catheter drainage , but 11 ( 91 % ) of the last 12 primary pyogenic abscesses were drained successfully ."
6227569,To evaluate and compare the shear bond strengths of five different orthodontic light cure bonding materials cured with traditional halogen light and low-intensity light-emitting diode ( LED ) light curing unit .
6391155,"In the first two cases , nephrectomy was carried out due to misdiagnosis and the later five cases were all cured with antibiotics ."
6400700,"The results of their treatment and a review of the international literature would support the statement that more patients with localized primary non-Hodgkin 's lymphoma of the uterine cervix can be cured with radiotherapy , or with a combination of chemotherapy and irradiation ."
6564084,"After a 12-month follow-up , 12 patients were completely cured and eight were not cured , with a greater response"
6580094,This form of CNS aspergillosis can be cured with antifungal drugs .
6602030,"Thus , by using modern diagnostic techniques patients can be identified who may be cured with salvage surgery ."
6624986,"Two thirds of patients with obstetric fistulas can be cured , with complete restoration of continence and low surgical morbidity , using a transvaginal surgical approach ."
6725564,The purpose of this study was to evaluate whether breast cancer could be cured with modern sophisticated radiation techniques with good cosmetic outcome .
6844538,Urgency symptoms were cured simultaneously with the stress symptoms .
6897470,"With the help of the short catheter follow-up treatment within the first four weeks after operation the infection of the urinary tract is cured in 87,5 % of the cases ."
6937431,Acute staphylococcic lung abscess cured with aid of bacitracin .
7040975,"Out of 58 eyes in which a cataract extraction followed a successful detachment operation , only 8 , or 15.5 % , developed a detachment of the retina after the cataract operation and , of these 8 eyes , 7 were cured with further retinal detachment operation ."
7071496,"Pork M. longissimus thoracis et lumborum samples were cured with 5.7 , 15.3 or 26.3 % w/w NaCl at a parallel or perpendicular fibre direction ."
7071501,This water remained loosely bound in samples cured with the saturated solution ( 26.3 % w/w NaCl ) leading to decreased WBC .
7131023,Report of two cases of acrodynia appearing after calomel therapy but without excretion of mercury in the urine and cured with B.A.L.
