sentence_id,sentence_text
645806,The wound healed by secondary intention with complete resolution of the infection .
1454575,2 ) A far greater increase in the Lysholm score seen in patients whose menisci were confirmed to have healed by repeat arthroscopy indicates that such questionnaires may be of help in the evaluation of treatment outcomes .
1632612,Rhenium-186-induced ulcers healed by hyperbaric oxygen therapy in two cases .
1999582,All flaps survived uneventfully and all wounds healed by primary intention .
2108766,"Erythrocyte sedimentation rate , C-reactive protein , rheumatoid factor titers and tender joint counts did not change when LCAP was used but the ulcers began to recede after the first treatment and , by the end of the fifth treatment , the ulcers had healed ."
2373185,All wounds healed by first intention .
2728821,All lesions healed by formation of granulation tissue and collagen .
2917461,The lesions healed by granulation and fibrosis .
2997248,"By the end of the observation period ( day 35 pt ) , the castration wound had healed in all animals ."
2999168,The majority of the lesions had healed by day 126 p.i .
3048920,The postoperative wound healed by primary tension in 91.89 % of patients in the main group ; the incidence of complications was lower in them than in the reference group ; the length of hospital stay and invalidity periods were reduced almost twofold .
3480018,These wounds healed by second intention .
3743190,Wound ultimately healed by second intention .
3743193,Buccal defects in both horses healed well by second intention without tumor recurrence .
3803577,The wounds healed by first intention in 26 cases and by second intention in 2 cases .
3803578,The donor sites healed by first intention .
3803583,Osteomyelitis recurred 12 months after operation in 2 cases and healed by nidus clearing .
3803611,All wounds of sinus type healed by first intention except one ; and all flaps survived .
3803612,All wounds of uler type healed by first intention ; and the flaps survived completely except two which had a partial necrosis .
3803615,"Two healed by operation , and the others healed by dressing exchange ."
3803616,The wounds healed by first intention .
3803617,The donor sites healed by first intention .
3803841,The wounds healed by first intention .
3806400,The wounds healed by first intention .
3813657,Recipient site wound of all patients healed by first intention .
3813773,"In the new method group , the flap and skin grafting survived and the wound healed by the first intension ."
3813778,The other flap and skin grafting survived and the wound healed by the first intension .
3877477,"All but one of the wounds healed by first intention , and in that patient , an 8 cm segment was easily resutured ."
4212428,CASE OF EPITHELIOMA COMPLICATING LUPUS ERYTHEMATOSUS TREATED BY SCRAPING AND HEALED BY THE X RAYS .
4582852,"The wounds healed by first intention in 5 cases ; partial dehiscence of incision occurred in 1 case , which was cured after dressing change for 26 days ."
4583784,All wounds healed by first intention .
4585576,All incisions at the donor site and recipient site healed by first intention .
4598332,All incisions healed by first intention .
5537938,"In 2 patients a distal wound dehiscence occurred , which healed by secondary intention ."
7248308,"The ulcers of the other 27 patients healed by 13.5   ±   8.2 weeks postoperatively , and the postoperative visual analog scale score was significantly lower than the preoperative score ."
