sentence_id,sentence_text
4163,This article reviews the surgical management of 115 cases of vascular anomalies involving the head and neck area treated by the authors between 1998 and 2009 .
13541,"Patients with CS I NSGCTs treated by retroperitoneal lymph node dissection ( RPLND ) , chemotherapy , or surveillance between January 1997 and December 2009 were identified ."
17258,To explore the effectiveness and the prognostic factors for patients with middle cerebral artery aneurysm associated with intracerebral hematoma treated by early surgical clipping of the aneurysm with hematoma evacuation .
21400,The use of cervicography in the follow-up of cervical intraepithelial neoplasia treated by CO2 laser .
25275,"The history of tympanic neurectomy , the anatomy of the tympanic plexus and the aetiology of otalgia with specific reference to the tympanic plexus are discussed and a case of bilateral otalgia due to glossopharyngeal neuralgia successfully treated by staged , bilateral tympanic neurectomy reported ."
33308,Sister chromatid exchange in babies treated by phototherapy .
34751,"One patient had a nonunion successfully treated by refusion , and in two patients a dystrophy developed , which was relieved by a stress loading program ."
35413,Included were consecutive patients at all ages with pre-hospital cardiac arrest treated by eight anaesthesiologist-staffed pre-hospital critical care teams in the Central Denmark Region .
43830,"The mortality in the patients treated by surgery was 32 % , and those with Staphylococcus aureus IE were responsible for 46 % of the total surgical deaths ."
45189,To determine the clinical outcome following obliteration of the fistula and to study the role of ICG in identifying the presence and location of SDAVF ; to add a comparative study of patients treated by embolization .
45803,"Our database contained information on 1,733 patients referred with LBP , treated by 97 therapists working in 41 practices ."
46123,"We report the case of a young girl with uterus didelphys , obstructed vagina and ipsilateral renal agenesis treated by diagnostic laparoscopy and resection of the vaginal septum by a vaginal approach in order to drain the distended uterus ."
46502,This study was a prospective case series of 47 midshipmen who sustained quadriceps contusions between August 1987 and December 2005 and who were treated identically and followed by serial examinations until the return to unrestricted full athletic activities .
48307,The charts and roentgenograms of 22 patients treated with this operation by the senior author ( RW ) from July 1978 to June 1981 were reviewed retrospectively .
64644,Chylous ascites treated by traditional Chinese herbal medicine : a case report and discussion .
69820,"Cholecystolithiasis is the most common disease treated by general surgery , with an incidence of about 0.15 - 0.22 % ."
70902,"From an analysis of 2803 patients with carcinoma of the cervix treated by radiation therapy , a 62 % cure rate can be shown ."
71883,"They represented 83 among 1 , 216 patients treated by ESWL over a 9-year period ( 1989 - 1997 ) ."
86854,Consecutive patients with nonmetastatic squamous cell carcinoma of the anus treated by CRT with curative intent between February 1983 and March 2008 were identified through the institutional database .
88050,A retrospective study was conducted of 91 boys who had had a non-retractable but non-fibrosed prepuce treated by retraction under general anaesthesia .
101347,[ Electromyographic study of the masticatory muscles in cases of mandibular deformities treated by the Dal Ponte method ] .
105872,Tumor-bearing animals treated by BNCT are routinely used to evaluate long-term antitumor effects of new boron compounds .
107028,All of the five deteriorated cases were of the beak-type OPLL treated by a posterior approach .
107425,"Group 1 included nine patients treated by SS pedicle fixation , whereas group 2 included nine patients treated by LS instrumentation ."
109158,This is the fourth case of leiomyoma of the renal capsule reported in the literature and the second case treated by conservative surgery .
112098,Risk factors for skeletal-related events in patients with non-small cell lung cancer treated by chemotherapy .
112110,"In conclusion , the presence of multiple bone metastases was significantly associated with the development of SRE in patients with advanced NSCLC treated by systemic chemotherapy ."
121925,Data were analyzed from participants with UIA treated by coiling or balloon-assisted coiling .
128876,"The former were directly inoculated with MCMV into the testis , while the latter treated by inoculation of DMEM without MCMV ."
129130,[ Electromyographic studies in scolioses treated by conservative and surgical methods ] .
130775,"Therefore , the aim of the present study was to compare , in hemochromatosis patients treated by bloodletting , the hemoglobin concentrations as assayed , on capillary blood , by a PH device and , on venous blood , by a cell counter ( CC ) device ."
131057,A case of presumed choroidal metastasis from carcinoid tumor treated by photodynamic therapy with verteporfin .
134226,"To report the dosimetric data and clinical outcomes of patients with advanced neoplasm of the paranasal sinuses and nasal cavity , treated by three-dimensional conformal radiotherapy ."
138187,"Forty patients accepted mobilization and collection of peripheral blood stem cells(PBSC ) after treated by CTX+G-CSF and DA-EPOCH+G-CSF therapy respectively , and were treated by auto-transfusion after BEAM pre-regimen ."
140826,Microtensile strength of resin cement bond to indirect composite treated by different output powers of Er : YAG laser .
147599,Follow-up investigation of one hundred and eleven cases of trigeminal neuralgia treated by the decompression operation between 1952 and 1954 .
150118,Combined internal-external laryngocele successfully treated by a onestage surgical procedure .
156152,"In a series of 343 patients treated by intensive chemotherapy over a 5-year period in our center , we identified 32 patients ( 9.3 % ) with fever , very high ferritin levels , and marrow hemophagocytosis ( i.e. patients with hemophagocytic lymphohistiocytosis ) ."
163650,Clinical outcome in patients with hilar malignant strictures type II Bismuth-Corlette treated by minimally invasive unilateral versus bilateral endoscopic biliary drainage .
163871,"In this study , effects of NH4(+ ) addition on the activity and community structure of methanotrophs were investigated in waste biocover soil ( WBS ) treated by a series of NH4(+)-N contents ( 0 , 100 , 300 , 600 and 1200mgkg(-1 ) ) ."
164825,"This report presents a strategy for platelet support , which was used in patients suffering from acute leukaemia undergoing remission induction , and in patients treated by bone marrow transplantation ( BMT ) or by antithymocyte globulin ( ATG ) ."
165346,"Twenty-four patients ( 37 feet , 51 toes ) affected by hammertoe deformity of the lesser toes and treated surgically by arthrodesis of the proximal interphalangeal joint , stabilized with an intramedullary titanium cannulated screw , were reviewed 1 - 4 years after the operation ."
175660,Ninety-five per cent of this chronic group treated by internal neurolysis improved .
176321,"To determine local control , survivorship , and cosmesis in women with ductal carcinoma in situ treated by conservative surgery and radiation therapy ."
176324,"We retrospectively analyzed the results of treatment in 56 women with in situ carcinoma of the breast , treated between 1976 and 1990 by conservative surgery and irradiation ."
176340,Patients with ductal carcinoma in situ treated by excision and irradiation achieved acceptable local control and excellent survival and cosmetic results .
179851,Surgical correction of ischemic nephropathy can retrieve renal function in selected patients dependent on dialysis characterized by a rapid decline in preoperative EGFR in combination with global renal ischemia treated by complete or bilateral renal revascularization .
179906,"We report a case of a Parkinson 's disease patient treated by bilateral deep brain stimulation of the subthalamic nucleus , who developed freezing and hypokinesia of gait induced by stimulation through a left-side misplaced electrode which was more antero-medial than the planned trajectory ."
184485,"In the rats treated by intratumoral injection of 90-Y-microspheres , 83.3 % ( 10/12 ) showed a good response ."
184490,"In the rats treated by intra-arterial injection of 90Y-microspheres , 58.3 % ( 7/12 ) showed a good response to the treatment ."
187247,"To assess neurological abnormalities in children treated by transplantation , diffusion tensor imaging was performed ."
189073,"A decrease in the dose of hCG used to trigger final oocyte maturation does not appear to affect adversely the probability of pregnancy in PCOS patients treated by IVF using GnRH antagonists and recombinant FSH , and further testing in future larger-scale trials is recommended ."
199076,Excision repair cross complementation group 1 immunohistochemical expression predicts objective response and cancer-specific survival in patients treated by Cisplatin-based induction chemotherapy for locally advanced head and neck squamous cell carcinoma .
200619,"We describe a case of multiple endoleaks following endovascular repair of an abdominal aortic aneurysm , treated by various methods ."
201988,"Author in the needle-biopsy specimen of the liver of a HBsAg positive patient previously treated with immunosupressive preparates ( Corticosteroid + Imuran ) in the nuclei of hepatocytes by the aid of electron microscope revealed ring-shaped particula of 20 - 25 nm in diameter ( core ) , in the cytoplasma of ground-glass hepatocytes in the canals of the rough-surfaced endoplasmic reticulum filamentous formations in average of 23 nm in diameter ( surface antigen ) ."
210755,Late-onset venous outflow obstruction treated by placement of a Foley balloon catheter in living donor liver transplantation using a left lobe .
211371,In 96 % of fistulas treated by vaginal repair ( 27/28 ) we obtained a complete recovery ; in one patient we observed fistula recurrence after 2 months from the operation .
221714,Results for patients treated with 3D-crt by the same group were previously reported .
224144,Pelvic failures and late radiation sequelae were analyzed using the dosimetric parameters of ICRU Report 38 for 338 patients with Stage I-III carcinoma of the uterine cervix treated by radiation alone and followed for a minimum of 2 years .
228460,Five women treated by excisional biopsy had local recurrences in the breast .
231254,This report reflects a retrospective comparison among historical series of patients with similar site and stage of disease treated by three fractionation schemes .
232925,"The effects of haemodialysate and its three peptide fractions on acetylcholinesterase ( AChE , E.C. 3.1.1.7 ) activity in erythrocytes from healthy subjects and patients with terminal renal insufficiency treated by repeated haemodialyses have been studied ."
241478,Patients with ovarian carcinoma of LMP at advanced stages experiencing disease recurrence and treated by secondary surgical cytoreduction at Fudan University Cancer Hospital were retrospectively reviewed .
255543,"All patients seen and treated by the Belgian First Aid and Support Team ( B-FAST ) in the IDP camp on March 10 and 11 , 2012 were included ."
272875,"Among the 11 live neonates treated by amiodarone in utero , 2 ( 17 % ) presented an elevated thyroid stimulating hormone at day 3 - 4 ."
273011,The survival rate ( Kaplan-Meier Method ) for combined therapy with I-A chemotherapy and radiotherapy was significantly higher than that for 23 patients treated by conventional radiation therapy alone .
286126,Ninety-three of 275 supracondylar fractures were treated non-operatively ( 33.8 % ) and 182 by surgery ( 66.2 % ) .
289080,We treated her by defibulation and biofeedback re-educative therapy .
295485,Severe ascites following renal transplant biopsy caused by a rupture of a subcapsular lymphocele : treated successfully by retroperitonealization .
300020,Reticular cell lymphosarcoma of the lid treated by surgery and cobalt irradiation .
300875,[ Developing cutaneous reticulosis previously treated by ablation and autograft ( 2d presentation ) ] .
301204,We reviewed two similar groups of patients with medial osteoarthritis of the knee treated by unicompartmental arthroplasty .
311490,The records of 31 patients treated by CV between 1987 and 2002 were reviewed .
313641,This study hypothesizes that VF leukoplakia treated by serial in-office laser results in long-term disease control with maintenance of voice and minimal morbidity .
313647,Forty-six patients with VF leukoplakia treated by in-office KTP ( potassium titanyl phosphate ) or PDL ( pulsed dye laser ) were included .
323049,To compare the long-term survival of patients with isolated and resectable peritoneal carcinomatosis ( PC ) in comparable groups of patients treated with systemic chemotherapy containing oxaliplatin or irinotecan or by cytoreductive surgery plus hyperthermic intraperitoneal chemotherapy ( HIPEC ) .
329997,"To study how clinical characteristics influence the risk of peritonitis in African American patients with end-stage renal disease treated with continuous ambulatory peritoneal dialysis ( CAPD ) , we examined the risk of developing a first episode of peritonitis among 1,595 new dialysis patients initially treated by CAPD over a two year period in North Carolina , South Carolina , and Georgia ( Network 6 ) ."
330004,"Thus , the increased risk of peritonitis of African American patients treated by CAPD is independent of other demographic , socioeconomic and comorbid characteristics ."
330190,[ 10 cases of acute hematological diseases in children treated by bone marrow transplantation ] .
346399,The aim of this retrospective study was to identify factors negatively affecting survival of patients with stage II colorectal cancer treated by curative resection .
359356,We reviewed 27 patients with small-fragment fractures or osteotomies treated by internal fixation with absorbable self-reinforced poly-L-lactide pins .
373166,"Furthermore , among patients with oral cavity cancer treated by surgery , a significant impact of drinking on survival was seen with tongue cancer , but not with non-tongue oral cancer ."
373954,Little is known about the prevalence and severity of DSM-IV mental disorders treated by traditional healers in Uganda .
379879,Some specimens from patients with chronic renal failure treated by haemodialysis showed elevated values .
390798,Intramuscular abdominal wall endometriosis treated by ultrasound-guided ethanol injection .
401218,The aim of this is to report the results of radical radiotherapy in carcinoma of the cervix treated by high-dose rate ( HDR ) intracavitary brachytherapy and external beam radiotherapy ( XRT ) at a single centre in Singapore .
401219,"This is a retrospective analysis of 106 consecutive cases with histologically proven cervical cancer , treated by HDR brachytherapy and XRT at the Mount Elizabeth Hospital from 1990 to 1993 ."
411401,Sixty patients treated for Hodgkin 's disease by radio + chemotherapy and remaining in complete remission with a median follow-up of 26 months answered a questionnaire dealing with their quality of life during and after treatment .
413796,Medical records of 10 horses with pain attributable to DSP pathology treated by endoscopic resection of DSP were reviewed to determine intra- and postoperative complications and outcome .
423892,The results in 76 patients treated by Sir Alan Parks .
423899,"The evidence so far , however , strongly suggests that survival rates are very similar to those reported by others for patients treated either by total rectal excision or by conventional anterior resection ."
428003,A retrospective chart review was performed of 68 patients suffering mandible fractures treated by various surgeons at a single institution .
443554,Thirty adult patients treated for brain tumors by radiation therapy were tested by the Weschler intelligence scale ( WAIS ) .
453349,A retrospective chart review of all patients treated by the senior author for laryngotracheal stenosis with endoscopic CO(2 ) laser incisions/dilation and adjuvant topical mitomycin C was performed to determine the incidence of complications .
455550,Blood lactate concentration has been measured at intervals over a twelve hour period in four maturity-onset diabetics with retinopathy treated by sulphonylurea and phenformin therapy .
456719,"Twelve ovary-intact female Wistar rats ( 12-month-old ) were divided into groups : control ( CTRL ) and ISO , daily treated by gavage with vehicle or soy-ISO extract ( 150   mg/kg b.w ) , respectively ."
462375,"The data of MTT assay showed that the number of viable cells treated by roscovitine ( 50 micromol/L ) alone for 12 h was 29.03 % , of the untreated controls ."
463395,"To determine predictors of survival in monochorionic diamniotic twins with selective fetal growth restriction type II ( sFGR-II ) , with or without twin-to-twin transfusion syndrome ( TTTS ) , treated by endoscopic placental laser coagulation ."
465488,Ruptured aortic aneurysm from late type II endoleak treated by transarterial embolization .
466444,CoCr rods provide better frontal correction of adolescent idiopathic scoliosis treated by all-pedicle screw fixation .
470509,"Additional experiments using pigs treated by castration and/or testosterone propionate indicated that sex and breed differences in the amounts of those CYP mRNAs were , at least in part , dependent on the levels of serum testosterone ."
473280,"We tested the hypothesis that in skeletally aged rabbit knees , microdrill holes can be stimulated to remodel the bone plate and induce a more integrated , voluminous and hyaline cartilage repair tissue when treated by subchondral chitosan/blood implants ."
474997,In a series of 48 patients treated by this method a success rate of 89 % was achieved after an initial learning phase .
477826,Massive hemorrhage from diverticulosis of the colon treated by radical subtotal colectomy : report of a case .
477858,Anoxic nephrosis ; a case due to crush injury successfully treated by conservative management and exchange transfusions .
481807,The cosmetic and functional outcome in 130 patients with Stages I and II carcinoma of the breast treated by biopsy and radiation therapy were evaluated .
481840,There was no complication except a mild superficial infection on the lateral side of the flap treated by antibiotherapy .
485752,The range of diseases treated by topical imiquimod may be expanded with data suggesting that it may have benefits in the treatment of basal cell carcinomas .
504867,"Between September 2000 and February 2003 , 30 patients with colon cancer who underwent LRH were compared with 34 controls treated by ORH in the same period ."
506429,"We can conclude that , in our case , autoHSCT followed by maintenance chemotherapy is a good option for adult patients with ALL and , in standard-risk and high-risk patients , provides more favorable OS and PFS rates compared to patients treated by chemotherapy alone ."
507375,Recovery from acute cholestasis associated with erythropoietic protoporphyria treated by antibiotics .
508885,We examined the results of multivariate analysis and multiple regression analysis of the neurological outcome of patients treated by cervical cord decompression .
512058,"In patients treated initially by stenting , dysphagia improved within 2 weeks of treatment in 85 % of patients ( dysphagia score of 0 or 1 ) ."
513258,Most cases of head lice are diagnosed and treated by nonphysicians .
527552,The authors report a case of toxic hepatitis in a woman of 22 years of age in the third trimester of her first pregnancy treated by methyldopa for hypertension of pregnancy which was diagnosed at 33 weeks of amenorrhoea .
538695,Lung and liver microsomal fractions of rats treated by 40 or 80 mg/kg/day of ammonium heptamolybdate for a period of 8 weeks showed a decrease in the different B(a)P metabolites assessed by high-performance liquid chromatography analysis .
545464,"Furthermore , TUBA/B2 M , TUBA/UBCE and B2M/TUBA were found to be the most suitable genes in samples treated with the drug , SB-431542 by geNorm , BestKeeper and NormFinder respectively ."
551422,An increase in the testicular volume was observed clinically and by ultrasound in 13 of the 15 patients treated by VLS and in 9 of the 12 patients operated by traditional means .
552133,"Fourteen of the 23 patients ( 60.8 % ) , 5 of the 7 who underwent tonsillectomy and 9 of the 16 treated by SMR , reported on a clinical improvement in the quality of their nocturnal sleep and diurnal hypersomnolence ."
