sentence_id,sentence_text
161,Repeated treatment with RTX leads to further clinical improvement after the first course of RTX .
877,"Furthermore , immunoadsorption by the baculo-proteins was prevented irreversibly by treatment with low pH , high pH , and boiling , but not with the non-ionic detergent Nonidet P-40 ."
2834,Treatment of oral thrush in HIV/AIDS patients with lemon juice and lemon grass ( Cymbopogon citratus ) and gentian violet .
2939,Treatment with gal-1-DC inhibited proliferation and secretion of IFN-gamma of T cells in response to beta cell Ag .
3625,"Analysis of monocytes after treatment with phosphatidylinositol-specific phospholipase C indicated that among CD14 molecules with LPS-binding capacity , some are susceptible and others are resistant to the enzyme , each type being mainly expressed by a different monocyte subset ."
3885,"Augmentation of Ag processing is enhanced by treatment of B cells with dibutyryl cAMP , a second messenger in the class II signaling pathway ."
6534,[ Acute angle x-ray scattering by phospholipid membranes after treatment with valinomycin ] .
6921,"The phenotypic changes were a result of TCR engagement , because treatment with staphylococcal enterotoxin B ( SEB ) resulted in a preferential increase in CD44 expression on the SEB-reactive V beta 8 T cells ."
6922,"In addition , the percentage of cells expressing Ly-6C increased among the CD8 + subset after anti-CD3 treatment and in the V beta 8 + CD8 + subset after treatment with SEB ."
7365,[ Effect of prolonged treatment with heparin and dicoumarin derivatives on blood coagulability in atherosclerosis ] .
7387,"However , treatment with U0126 ( known as the ERKs inhibitor ) or wortmannin ( known as the PI-3 K inhibitor ) , but not SB203580 ( known as the p38 MAPK inhibitor ) , markedly inhibited the expression of MMP-9 induced by HBx in HBx-transfected cells ."
7702,Sequential treatment with infusional 5-FU/FA plus oxaliplatin followed by 5-FU/FA plus irinotecan or vice versa results in a median survival exceeding 20 months .
7703,"Thus , patients in a good performance status and with favorable prognostic parameters should be offered first-line combination treatment of irinotecan or oxaliplatin with 5-FU/FA , whereby 5-FU is preferably administered as an infusion for combination therapy ."
8410,The purpose of this study was to evaluate the nanohardness and elastic modulus of human enamel after treatment with tray and strip bleaching systems .
8689,"The women were randomized to 3 months ' treatment with HRT , ERT or placebo ."
8930,Treatment of primary pulmonary hypertension with oral sildenafil .
9214,"Negative interactions decreased significantly after treatment with CBT , but did not change in support groups or natural course ."
10647,Surface treatment of flexor tendon autografts with carbodiimide-derivatized hyaluronic Acid .
11559,"Using phosphotyrosine-specific antibodies ( PY20 ) , we observed that tyrosine kinase activity in DMS114 cells was inhibited by treatment with beta-HIVS and CDDP together ."
12606,"Weanling male mice with or without prior treatment with CCl4 ( 0.5 ml/kg ) were exposed to either single ( 20.5 , 25.6 , 32 and 40 mg/kg ) or multiple ( 4 mg/kg for 10 days or 8 mg/kg for 5 days ) doses of aflatoxin B1 ."
12623,In established subcutaneous tumors treatment with multiple injections of virus-producing cells also inhibited tumor growth in a dose-dependent manner .
12837,Treatment with bST decreased ( P = .08 ) DMI with UC ( 1.15 vs .91 kg/d ) and increased ( P = .08 ) DMI with TC ( .95 vs 1.06 kg/d ) .
13637,"Follow-up continued until one of four endpoints was reached : seizure freedom for ≥6months on unchanged dosing ; ≥50 % reduction ( responder ) in seizure frequency on the highest tolerated dose compared with baseline ; < 50 % seizure frequency reduction ( marginal response ) compared with baseline in patients wishing to continue treatment with the new AED ; or withdrawal due to lack of efficacy , side effects , or both ."
13639,"A higher percentage discontinued treatment with ZNS ( 41.8 % ) and PGB ( 50.4 % ) than with LEV ( 32.4 % ) , TPM ( 31.1 % ) , and LCM ( 22.5 % ) ."
14096,Treatment with a highly selective β₁ antagonist causes dose-dependent impairment of cerebral perfusion after hemodilution in rats .
14750,Efficacy Treatment of Osteoarthritis with Combine Chondroitin and Glucosamine .
15163,"It is of brain are associated with schizophrenia and schizophrenia-like psychoses , although whether such neurochemical abnormalities are related to the illness or are a consequence of prolonged treatment with neuroleptic drugs remains unclear ."
15272,Treatment with IL-6 resulted in a greater population of surviving ( nonapopototic ) PMNs after 24 hours .
15397,Treatment of acute viral hepatitis with (+)-cyanidanol-3 .
15824,"To evaluate steroid-sparing efficacy and the impact of steroid discontinuation on adverse events during treatment of Crohn 's disease with adalimumab in the phase III randomised , double-blind 1-year CHARM trial and for an additional 2 years in its open-label extension ADHERE ."
16418,Treatment with interferon-gamma ( 1 - 100 U/ml ) for 24 h decreased the IR-ET levels in the culture medium but significantly increased IR-ADM levels .
16420,The secretion of IR-ET was decreased by treatment with interferon-gamma .
17238,"In both models , treatment with 30mg/kg OCA reduced serum transaminases up to 30 % , but did not improve fibrosis ."
17507,"Treatment with Rh 6 G , alone or in combination with 2-DOG , significantly increased the incidences of prenatal mortality ( 17 % and 35 % , respectively ) when compared with the control incidence ( 6 % ) ."
17508,"Treatment with Rh 123 or Rh 6 G , alone or with 2-DOG , inhibited fetal growth ."
17509,Treatment with the neutral rhodamines had little effect on prenatal survival or growth .
17670,Daily treatment with 2 mg/kg of Dex for 10 days induced the rats to a depressive-like state and decreased the expression of both VDR and the cytochromes P450 enzymes involved in VD activation ( CYP27B1 ) and catabolism ( CYP24A1 ) in the prefrontal cortex and hippocampus .
18955,"To investigate if short-term treatment with liraglutide , a glucagon-like peptide-1 receptor agonist , improves left ventricular diastolic function ."
18958,"An investigator-initiated , double-blind , randomized , placebo-controlled trial on the effect of 18   weeks of treatment with liraglutide on diastolic function was assessed in patients with type 2 diabetes with signs of diastolic dysfunction ( echo-Doppler determined E/e '   ≥   9 and/or lateral e '   ≤   10   cm/s ) ."
